Year,Region,Zone,No. Transects,Total Fish Densit_mean,Total Fish Densit_SE,Fish Species richness_mean,Fish Species richness_SE,Fishery Target Spp_mean,Fishery Target Spp_SE,Grazers_mean,Grazers_SE,Corallivores_mean,Coraliivores_SE,Planktivores_mean,Planktivores_SE,Territorial Pomacentrids_mean,Territorial Pomacentrids_SE,Plectropomus spp_mean,Plectropomus spp_SE,SCI_mean,SCI_SE,LCC_mean,LCC_SE,LHC_mean,LHC_SE,MAC_mean,MAC_SE
1999,Whitsunday,Fished,60,,,,,10.7,1.1,,,,,,,,,2.7,0.4,13.3,0.7,51.5,2.6,29.2,2.4,18.5,2.8
1999,Whitsunday,NTR 1987,60,,,,,20.2,2.5,,,,,,,,,7.4,0.8,6.7,0.2,70.9,2.2,42.6,1.9,3.7,1
2000,Palm,Fished,60,,,,,12.4,1.2,,,,,,,,,3.7,0.4,15.6,0.9,56.1,2.5,37.2,2.5,5.3,1.1
2000,Palm,NTR 1987,60,,,,,37.7,3.1,,,,,,,,,13.5,1.4,11.3,0.9,65.8,2.7,31.3,2,3.8,0.9
2001,Palm,Fished,60,,,,,11,1.3,,,,,,,,,2.9,0.4,11.8,0.7,49.3,2.7,28.9,2.5,7.5,2
2001,Palm,NTR 1987,60,,,,,18.4,1.7,,,,,,,,,7.6,0.9,11.1,0.5,62.2,2.4,30.6,1.9,2.1,0.7
2001,Whitsunday,Fished,60,,,,,12.8,1.3,,,,,,,,,3.9,0.6,9.1,0.4,56.5,3.3,34.3,2.4,20.5,3.2
2001,Whitsunday,NTR 1987,60,,,,,20.6,3,,,,,,,,,9.1,1.2,14.3,0.9,61,2.7,41.8,2.5,11.3,1.9
2002,Keppel,Fished,30,,,,,17.1,3.6,,,,,,,,,9.3,2,6.5,0.4,48.4,4.3,46.9,4.2,10,3.6
2002,Keppel,NTR 1987,30,,,,,23.3,3.6,,,,,,,,,6.3,1.2,6,0.6,62.9,4.5,62.3,4.4,4.1,2
2002,Palm,Fished,60,,,,,16.6,2.5,,,,,,,,,3.1,0.5,12.8,0.7,43.5,2.5,27,2.5,1.1,0.4
2002,Palm,NTR 1987,60,,,,,25.6,2.1,,,,,,,,,9.1,1,12,0.6,48.6,2.6,23.9,1.6,0,0
2002,Whitsunday,Fished,60,,,,,11.8,1.3,,,,,,,,,4.2,0.7,11.5,0.6,51.6,3,34.7,2.7,26.7,2.7
2002,Whitsunday,NTR 1987,60,,,,,14,2.1,,,,,,,,,5.5,0.9,9.5,0.4,58.7,2.7,43.5,2.8,11.5,1.5
2003,Palm,Fished,60,,,,,16.5,1.7,,,,,,,,,4.7,0.8,6.3,0.4,45.5,2.4,28.1,2.2,0.7,0.3
2003,Palm,NTR 1987,60,,,,,30.2,2.5,,,,,,,,,10.7,1.2,7.1,0.3,57.1,2.3,25.4,1.5,0.4,0.2
2003,Whitsunday,Fished,85,,,,,14.7,1.4,,,,,,,,,6.3,0.7,10.7,0.4,80.5,5.5,55.6,4.6,13.8,2.3
2003,Whitsunday,NTR 1987,60,,,,,21.2,2.6,,,,,,,,,9.6,1,11.5,0.6,62.9,2.2,40.2,2.4,4.5,1.2
2004,Keppel,Fished,75,,,,,32.7,2.5,,,,,,,,,18,1.8,6.6,0.3,67.8,2.5,62.8,2.7,0.5,0.2
2004,Keppel,NTR 1987,30,,,,,36.9,3.1,,,,,,,,,17.6,1.9,6.3,0.3,72.7,2.1,71.3,2.1,0,0
2004,Whitsunday,Fished,60,,,,,16,1.9,,,,,,,,,5.6,0.7,14.8,0.8,69.1,1.7,46.5,2.1,0.2,0.1
2004,Magnetic,Fished,30,299.9,25.5,15.9,0.7,13.2,1.6,29.2,5.1,24.2,2.6,0,0,10.3,2.9,3.3,1,7.1,0.5,41.5,2.7,40.7,2.5,12.9,1.4
2004,Magnetic,NTR 1987,10,237,36.9,15.3,2.1,15,2.1,19,4,15.3,3,0,0,14,4.8,5,1.3,7.5,1,38.4,3.9,37.2,3.5,13.6,3
2004,Palm,Fished,30,2276.8,191.4,29.5,1,9.1,1.3,68.9,11.3,22.9,2.5,66,18.8,73,11.2,6,0.9,10.8,0.7,66.4,3.1,31.1,3.8,0.3,0.2
2006,Keppel,Fished,50,11863,2993.1,23,0.9,17.6,1.6,45.2,10.1,29,3.2,10830.6,2991.5,224.2,28.7,8.7,1,6.3,0.3,55.4,3.5,50,3.4,13.9,2.5
2006,Keppel,NTR 1987,30,6473.8,907.3,23.7,0.8,25.9,4.3,20.4,3.7,40.8,5,5441,912.1,173.3,20.3,12.2,1.6,6.6,0.5,57.1,4.2,56,4.3,18.9,4
2006,Keppel,NTR 2004,20,8435.7,1767.1,21.4,1.2,31,5.6,21.8,7.4,18.3,3.2,6990.5,1745.3,517,73.8,22,3.7,5.5,0.6,32.2,5.1,32.1,5.1,53.1,4.8
2006,Palm,Fished,15,1913.1,170.7,31.9,2.3,21.6,2.7,70.2,14.6,6.2,1.5,80,31.7,159.3,28.6,6.7,1,16.1,1.5,61.6,3.2,10.9,2,0,0
2006,Palm,NTR 2004,15,2817.3,203.7,32,1,21.8,2.3,26.7,5.2,14.7,2.4,195.3,141.3,148.7,29.7,10.7,1.5,19.6,1.2,55.5,3.2,21.9,1.8,0.1,0.1
2006,Whitsunday,Fished,45,2962.7,202.7,36.6,0.9,23,3.3,101,16.3,33.6,2.9,242.9,63.4,195.6,21.1,5.9,0.9,12.7,0.6,72.6,1.8,50,2.4,0,0
2006,Whitsunday,NTR 2004,45,3372.3,249.1,36.2,0.8,25.1,4,75.7,9,24,2.3,386.7,78.8,308.4,38.6,9,1.5,15,0.7,70.3,1.8,43.1,2.2,0,0
2007,Keppel,Fished,50,14019.1,2155.4,28,1.1,23.1,2,63.5,15.9,60.9,5,12606,2159.4,292.4,24.5,11.3,1.3,6.7,0.3,60,3.7,55.1,3.7,10.7,2.3
2007,Keppel,NTR 1987,30,15914.6,3210.3,29.3,1.1,37.4,3.9,78.2,29.3,66.2,7.4,14409,3211.7,308.7,46,17.2,2,7.2,0.3,58.9,3.4,57.7,3.4,22.4,4.1
2007,Keppel,NTR 2004,20,6841,993,22,1.4,34.8,4.4,10.3,3.9,20.8,4.2,5383.5,992.4,560.5,53,25,3.1,6.2,0.4,25.9,3.3,25.7,3.3,62.6,2.8
2007,Magnetic,Fished,20,596.1,43.8,22.9,1,23.2,2.6,51,10.1,43.5,4,0.5,0.5,205.5,16.6,5.8,1.3,5.7,0.6,40.1,2.6,38.9,2.7,19.7,3.1
2007,Magnetic,NTR 1987,10,783.6,152.3,23.5,2.5,31,6.3,86.3,22.1,22.3,4.4,0,0,205,18.2,7.7,1.7,6.9,0.8,29.4,3.6,28.6,3.7,26.8,3.3
2007,Magnetic,NTR 2004,10,482,69.3,17.8,1.9,14.3,1.7,41.3,18.3,19.3,6.4,0,0,202,26.3,3.3,0.7,9.5,0.9,39.2,6.1,37.8,6.2,30.8,6.4
2007,Palm,Fished,75,2338.5,143.1,39.7,0.6,23.6,1.9,94.6,7.3,14.6,1.3,154.9,40.8,136.7,12.5,8.8,0.8,11.7,0.6,45.6,2,24,1.8,0.2,0.1
2007,Palm,NTR 1987,60,1913.4,140.3,36,0.8,33.9,3.2,79.2,9.5,29.5,4.7,103,23.7,191.5,15,12.7,1.2,6.5,0.3,51.5,2.1,22.3,1.5,0,0
2007,Palm,NTR 2004,15,3082.9,250,39.9,1.2,30,3.3,52.4,5.7,20.2,2.4,159.3,77.4,91.3,15.8,14.9,2.6,3.7,0.3,55.1,2.6,27.1,3.2,1.3,0.6
2007,Whitsunday,Fished,100,2559.3,162.5,33.7,0.8,13.9,1.3,44.2,3.3,24.9,1.6,344,66.2,182.3,11.6,3.1,0.3,8.6,0.5,61.7,2,41.5,1.8,6.9,1.8
2007,Whitsunday,NTR 1987,60,3809.8,343.1,35.7,1.1,19.6,3,61.1,5.6,28.9,2.1,1391,273.8,111.2,9.4,7.3,0.8,6.1,0.3,68.8,1.6,45.6,2,0.2,0.1
2007,Whitsunday,NTR 2004,45,3175.2,206,41.5,0.8,21.5,2.5,91.1,9.6,32.7,3.1,425.1,102.6,77.8,8.1,10.1,1.6,6.8,0.2,67.6,1.5,45.5,2.3,0.1,0.1
2008,Keppel,Fished,30,4531.2,735.4,23.2,0.8,21.7,1.9,79.5,33.4,27.7,3.3,3453,724.3,201,17.6,12.5,1.6,6.8,0.3,60.4,6.1,59.4,6,1.5,0.6
2008,Keppel,NTR 2004,20,9140.1,1354.3,22,1.6,31.8,4.9,79,32.1,13.5,2.5,8132.5,1341.6,231,27.8,21.3,3.8,6.8,0.4,40.6,5.8,40.5,5.8,19.6,5.3
2008,Palm,Fished,15,3164.6,309,41.5,1.9,24,3.2,62.2,7.1,21.8,3.5,152.7,56.8,176.7,21.2,7.8,1.5,8.1,1.2,60.1,2.9,20,3.4,0.5,0.4
2008,Palm,NTR 2004,15,4022.6,264.7,38.9,1,20.2,3.1,36.4,3.7,17.8,2.2,216.7,47.7,183.3,16,7.8,1.7,10,0.4,55.1,2.6,27.1,3.2,1.3,0.6
2008,Whitsunday,Fished,50,3740.6,268.6,40.1,0.9,15.7,1.3,83.4,28,38.7,2.9,565,158.1,105.6,9.5,5.9,0.8,7.7,0.4,71.6,1.8,51.6,2.3,0.6,0.2
2008,Whitsunday,NTR 2004,45,3849.2,226.8,44.9,0.7,35.9,3.8,83.4,5.8,34.7,2.6,928.9,163.7,75.8,7.2,17.3,1.8,7.2,0.4,63.2,1.8,42.3,2.3,0.4,0.1
2009,Keppel,Fished,50,10732.7,1442.9,24.6,0.9,26.1,2.9,19.5,3.7,40.2,3.3,9540,1427.4,179.2,11.9,14.7,1.5,6.9,0.3,68.2,3.6,64.3,3.6,12.1,3.3
2009,Keppel,NTR 1987,30,14894.9,2292.5,23.3,0.9,41,4.8,11.7,3.3,47.9,4.5,13810,2275.4,220,17.6,23.8,2.5,7.3,0.2,75.1,3,74.5,3,8.7,2.7
2009,Keppel,NTR 2004,20,15629.5,2685.5,18.5,1.1,34.3,4.2,13.3,5.1,15.3,5.2,14593.5,2653.2,311,32.9,24.5,3.3,5.1,0.2,34.4,7,34.4,7,55.7,7.6
2009,Palm,Fished,75,2271.6,108.1,39.2,0.7,18.7,1.7,106.5,12.3,15.2,1.1,132.1,18.6,196.4,15.4,4.8,0.6,12,0.6,53,1.5,32.7,1.7,1.1,0.4
2009,Palm,NTR 1987,60,1606.8,98.9,33.8,0.8,25.8,1.7,79.7,8.4,15.2,1.3,166.7,33.5,256.2,20.6,8.7,1.3,10.9,0.6,54.9,2.1,28.6,1.7,0.5,0.2
2009,Palm,NTR 2004,15,3106.4,158.9,38.8,1.1,20.4,2.2,60.7,8.7,14.7,2.2,121.3,36.8,154.7,23.3,4.2,0.9,9.6,0.6,55.2,2.1,30.5,3.7,0.4,0.4
2009,Whitsunday,Fished,100,2372.1,152.2,32.4,0.8,13,1.3,69.9,8.1,24.1,1.6,386.4,69.1,194.6,12.8,3.8,0.4,9.1,0.5,66.8,2,44.4,1.9,6.1,1.6
2009,Whitsunday,NTR 1987,60,2645,161.5,34.2,0.9,19,2.5,66.3,5.8,27.8,2.3,569.2,110.6,127,20.7,7.8,0.8,11.4,0.7,77.4,1.7,47.7,2.3,0.1,0.1
2009,Whitsunday,NTR 2004,45,2379.1,109.6,35.7,0.7,21,2.7,63.2,5.8,26.6,2.6,343.3,54.5,118.4,17.7,8,1.1,10,0.5,74.4,1.6,45.4,2.4,0.2,0.1
2011,Keppel,Fished,50,7659,1525.7,20.9,0.8,12.7,1.2,53.7,10.6,40,3.9,6571.2,1528.4,297.2,21.5,6.3,0.9,5.9,0.3,45.5,3.1,42.9,3.2,0.2,0.1
2011,Keppel,NTR 1987,30,3064.5,549.4,21.9,1.2,16.3,2.6,110.8,25.8,36.1,4.2,1942.7,523.2,319,37.4,9.4,1.7,6,0.3,35.8,3.4,35.4,3.4,0,0
2011,Keppel,NTR 2004,20,8607.8,2490.2,16.6,1.2,26.5,5,36.3,14.8,26.8,6.1,7442,2495.9,450,49.4,21.5,4.3,4.2,0.3,33,5.9,33,5.9,0.3,0.2
2012,Magnetic,Fished,20,241.3,33.3,11.5,0.6,7.8,1.3,15.7,2.8,11.2,1.6,0,0,90,13.1,1,0.4,4.9,0.8,25.7,2.6,25.6,2.6,25.9,4.1
2012,Magnetic,NTR 1987,10,182,25.5,10.5,1.6,8.7,2.1,19.3,6.9,3.7,1.8,0,0,57,15.3,3.3,1.3,5.3,1.2,17,2.8,16.4,2.8,59.2,4.2
2012,Magnetic,NTR 2004,10,162,24.2,7.8,1.6,3.3,1.1,11,6.7,5,1.4,0,0,74,7.8,1,0.7,8.9,1.2,16.2,2.4,16,2.4,40.2,5.6
2012,Palm,Fished,75,1582,75.4,36,0.7,17.9,1.6,127.2,14,11.4,1,92.8,14.4,336.9,20.7,5.4,0.5,16.2,0.6,30.2,2.1,15.6,1.4,1.5,0.4
2012,Palm,NTR 1987,60,1205,67,30.6,0.8,26.3,2.1,82,10.5,19.1,3.2,52,12.5,295.8,25.2,9.9,1.2,15.4,0.7,28.8,2.6,13.6,1.6,1.9,0.4
2012,Palm,NTR 2004,15,2636.9,151.9,34.7,1,21.3,2.7,106.4,29.9,16.4,2.7,84.7,42.1,194,28,7.1,2,9.3,0.7,53.2,2.7,27.2,3.2,0.4,0.4
2012,Whitsunday,Fished,100,2283.5,131.2,34.6,0.5,12.7,0.9,92.2,8.4,22.5,1.3,397,81,141.1,9.5,3.6,0.4,11.2,0.6,53,1.7,38,1.7,7.1,1.6
2012,Whitsunday,NTR 1987,60,2118.6,135.1,32.6,1,12.1,1.1,81.3,7.2,17.6,1.3,536.5,106.1,71,10.2,5.4,0.7,8.1,0.6,58.3,2.3,41,2.1,3,1.1
2012,Whitsunday,NTR 2004,45,2692.6,115,38.5,0.8,19.6,2.1,106.1,10.8,29.5,2.4,630.2,103.7,81.8,8.4,8.5,1.2,5.2,0.3,60.5,1.7,38.8,2.6,0.2,0.1
2013,Keppel,Fished,50,1376.3,190.9,17.1,0.8,6.8,1,17.5,2.5,15.6,1.9,861.4,186.3,116.2,7.5,3.4,0.6,4.7,0.2,30.9,3.1,27.7,3.1,8,2.4
2013,Keppel,NTR 1987,30,2213,238.8,15.8,0.7,8.3,2.3,30.2,3.5,11.9,1.7,1672.3,237.8,127.7,11,4.2,0.9,4,0.2,28,4,27.1,4,13.8,3.4
2013,Keppel,NTR 2004,20,1423.3,213,10.9,0.8,6.3,1.9,9.7,2.4,7.7,2.5,1070,194.3,72.5,8.1,5.8,1.8,4.1,0.2,22.7,5.6,22.6,5.6,31.4,6.8
2014,Whitsunday,Fished,100,1834.3,97.3,31.7,0.7,10.3,0.8,105.9,9.7,16.3,1.4,183.1,37.6,229.8,16.1,4,0.4,14.2,0.5,63.3,1.5,42.5,1.6,4.2,1.2
2014,Whitsunday,NTR 1987,60,2028.6,118,33.2,0.9,21.2,3.3,91,9.6,20.6,1.8,213.8,48.3,205.2,23.8,9.2,0.8,12.7,0.6,62.6,2,37.8,2,1.4,0.5
2014,Whitsunday,NTR 2004,45,2595,167.5,40.8,0.8,18.7,1.3,172.2,15.5,22.7,2.3,311.1,113,80.4,8.8,11,1,15.8,0.6,58.8,1.8,42.4,1.7,0.1,0.1
2014,Palm,Fished,75,1678.5,130.7,35.4,0.7,9.2,0.9,94.4,6.3,8.5,1,44.8,7.7,215.9,14.9,2.5,0.4,11.9,0.5,35.6,1.9,18.7,1.3,4.1,0.7
2014,Palm,NTR 1987,60,1592.7,113.6,34.6,0.8,15.6,1.3,92.1,7,16.6,3,61.7,22.6,422.2,25.3,4.8,0.6,10.5,0.6,30.9,2.1,18.7,1.8,6.6,1.2
2014,Palm,NTR 2004,15,3986.9,406.1,37.8,1.1,10.4,2,56.9,10.2,14.4,1.8,54.7,39.3,170.7,20,4,0.7,10.4,0.3,59.7,2,30.5,2.9,0,0